Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000519657,0.778388,0.254982
us_000562493,0.778388,0.255616
us_000488262,0.778388,0.258661
us_000551170,0.778388,0.260775
us_000600432,0.778388,0.261082
us_000593729,0.778388,0.266620
us_000603532,0.778388,0.316881
us_000477264,0.778388,0.367928
us_000604080,0.778388,0.402226
us_000604888,0.778388,0.431331
us_000471835,0.778388,0.869562
us_000498837,0.763105,0.000000
us_000534535,0.763105,0.000001
us_000604154,0.763105,0.000031
pr_000598731,0.763105,0.000100
pr_001257640,0.763105,0.001949
pr_001213254,0.763105,0.001949
pr_001209387,0.763105,0.002812
pr_001300565,0.763105,0.003083
pr_000515773,0.763105,0.004534
pr_001262744,0.763105,0.004534
pr_001299159,0.763105,0.004534
pr_001299053,0.763105,0.004534
pr_001300268,0.763105,0.004534
us_000515431,0.763105,0.004889
pr_001304985,0.763105,0.005397
pr_001239534,0.763105,0.005397
pr_001324596,0.763105,0.005397
pr_001325195,0.763105,0.005656
pr_001324170,0.763105,0.008938
pr_001299893,0.763105,0.008938
pr_001323195,0.763105,0.008938
us_000566703,0.763105,0.010126
pr_001326527,0.763105,0.013673
us_000526931,0.763105,0.014248
pr_001204460,0.763105,0.018237
us_000548011,0.763105,0.037032
us_000529571,0.763105,0.062749
us_000614593,0.763105,0.142826
us_000615124,0.763105,0.143224
us_000537830,0.763105,0.274228
us_000622534,0.756847,0.000062
us_000514198,0.756847,0.179387
us_000615872,0.756847,0.194455
us_000514177,0.756847,0.204005
us_000586304,0.756847,0.205127
us_000617199,0.756847,0.205523
us_000604989,0.756847,0.208399
us_000604064,0.756847,0.209604
us_000578684,0.756847,0.210287
us_000608172,0.756847,0.231914
us_000553949,0.756847,0.232813
us_000614718,0.756847,0.233161
us_000612742,0.756847,0.233417
us_000522747,0.756847,0.260260
us_000522664,0.756847,0.261573
us_000519475,0.756847,0.267810
us_000587950,0.756847,0.268599
us_000573985,0.756847,0.270336
us_000539612,0.756847,0.271194
us_000543662,0.756847,0.291434
us_000557285,0.756847,0.293357
us_000535056,0.751422,0.000000
us_000559013,0.751422,0.000000
us_000525294,0.751422,0.000000
us_000591718,0.751422,0.000001
us_000556166,0.751422,0.000002
pr_001510768,0.751422,0.000016
us_000600791,0.751422,0.200904
us_000622560,0.751422,0.218975
us_000587980,0.751422,0.228103
us_000558238,0.751422,0.232364
us_000613991,0.751422,0.233057
us_000600286,0.751422,0.239294
us_000609858,0.751422,0.239907
us_000528650,0.751422,0.255084
us_000529667,0.751422,0.262319
us_000525275,0.751422,0.266734
us_000548051,0.751422,0.274159
us_000616380,0.751422,0.278132
us_000583359,0.751422,0.278625
us_000519687,0.751422,0.297380
us_000566678,0.751422,0.299844
us_000562558,0.751422,0.321286
us_000537614,0.751422,0.351208
us_000533282,0.751422,0.410389
pr_001299282,0.728983,0.003641
us_000604024,0.728983,0.180488
us_000604039,0.728983,0.193341
us_000603713,0.728983,0.196994
us_000603879,0.728983,0.202478
us_000601109,0.728983,0.207312
us_000600759,0.728983,0.215831
us_000608013,0.728983,0.219030
us_000618750,0.728983,0.220579
us_000514051,0.728983,0.225089
us_000601481,0.728983,0.228079
us_000593316,0.728983,0.234546
us_000574303,0.728983,0.242307
us_000547734,0.728983,0.242414
us_000547870,0.728983,0.254850
us_000566282,0.728983,0.255423
us_000616017,0.728983,0.256158
us_000566477,0.728983,0.260148
us_000558607,0.728983,0.261137
us_000525262,0.728983,0.263548
us_000589914,0.728983,0.266523
us_000594769,0.728983,0.271141
us_000536969,0.728983,0.271397
us_000537344,0.728983,0.273902
us_000590180,0.728983,0.275616
us_000532547,0.728983,0.285698
us_000546283,0.728983,0.292470
us_000593659,0.728983,0.298530
us_000566420,0.728983,0.300304
us_000519716,0.728983,0.303100
pr_001425835,0.728983,0.365906
us_000615990,0.728983,0.417395
pr_000629409,0.712230,0.000001
pr_001369771,0.712230,0.000001
pr_001178078,0.712230,0.000001
pr_001192619,0.712230,0.000001
pr_001334848,0.712230,0.000001
pr_001200835,0.712230,0.000001
