Product ID : 2093 JPs covered : 122 : Municipal Law/Eminent Domain, 
OID,Confidence at Map Node,Error at Map Node
us_000481260,0.768844, 0.572572
us_000578170,0.768844, 0.572572
us_000486492,0.768844, 0.572572
us_000513883,0.768844, 0.580715
pr_001985764,0.768844, 0.580715
us_000597343,0.768844, 0.580715
us_000500822,0.768844, 0.580715
us_000481231,0.768844, 0.580715
us_000577340,0.768844, 0.580715
us_000494698,0.768844, 0.580715
us_000486308,0.768844, 0.580715
us_000483253,0.768844, 0.580715
us_000562200,0.768844, 0.580715
us_000495046,0.768844, 0.580715
us_000472784,0.768844, 0.580715
us_000597312,0.768844, 0.580715
us_000481537,0.768844, 0.580715
us_000595342,0.768844, 0.580715
us_000487339,0.768844, 0.580715
us_000493853,0.768844, 0.580715
us_000495822,0.768844, 0.580715
us_000484156,0.768844, 0.580715
us_000596138,0.768844, 0.580715
us_000499307,0.768844, 0.580715
us_000485321,0.768844, 0.580715
us_000491173,0.768844, 0.580715
us_000472639,0.768844, 0.580715
us_000533117,0.768844, 0.580907
us_000597066,0.768844, 0.582244
us_000484693,0.768844, 0.582462
us_000513207,0.768844, 0.587872
us_000555777,0.768844, 0.588958
us_000567814,0.768844, 0.588958
us_000596143,0.768844, 0.588958
us_000578060,0.768844, 0.588958
us_000482357,0.768844, 0.588958
us_000485029,0.768844, 0.588958
us_000490077,0.768844, 0.588958
us_000588790,0.768844, 0.588958
us_000458810,0.768844, 0.588958
us_000482276,0.768844, 0.588958
us_000578466,0.768844, 0.588958
us_000559965,0.768844, 0.588958
us_000597216,0.768844, 0.588958
us_000586989,0.768844, 0.588958
us_000513945,0.768844, 0.588958
us_000487245,0.768844, 0.588958
us_000488575,0.768844, 0.588958
us_000586753,0.768844, 0.588958
us_000596703,0.768844, 0.588958
us_000472815,0.768844, 0.588958
us_000586988,0.768844, 0.588958
us_000586750,0.768844, 0.588958
us_000439319,0.768844, 0.588958
us_000484057,0.768844, 0.588958
us_000485023,0.768844, 0.588958
us_000500306,0.768844, 0.588958
us_000587052,0.768844, 0.588958
us_000609458,0.768844, 0.588958
us_000597894,0.768844, 0.588958
us_000492178,0.768844, 0.588958
us_000578419,0.768844, 0.588958
us_000491147,0.768844, 0.588958
us_000586752,0.768844, 0.588958
us_000473043,0.768844, 0.588958
us_000491136,0.768844, 0.588958
us_000596999,0.768844, 0.588958
us_000482069,0.768844, 0.588958
us_000513084,0.768844, 0.588958
us_000478578,0.768844, 0.588958
us_000597893,0.768844, 0.588958
us_000586987,0.768844, 0.588958
us_000578050,0.768844, 0.588958
us_000513597,0.768844, 0.588958
us_000473052,0.768844, 0.588958
us_000486793,0.768844, 0.588958
us_000596998,0.768844, 0.588958
us_000577887,0.768844, 0.588958
us_000596594,0.768844, 0.588958
us_000554049,0.768844, 0.588958
us_000615821,0.768844, 0.588958
us_000473936,0.768844, 0.588958
us_000532759,0.768844, 0.588958
us_000495434,0.768844, 0.588958
us_000557423,0.768844, 0.588958
us_000472853,0.768844, 0.588958
us_000577344,0.768844, 0.588958
us_000586792,0.768844, 0.588958
us_000555929,0.768844, 0.589150
us_000492124,0.768844, 0.589346
us_000488813,0.768844, 0.592407
us_000012416,0.768844, 0.593692
us_000493593,0.768844, 0.595446
us_000556155,0.768844, 0.596514
us_000509298,0.768844, 0.601836
us_000517304,0.394138, 0.018363
pr_000749254,0.394138, 0.258029
pr_001064905,0.394138, 0.263201
pr_000720646,0.394138, 0.278050
pr_000734680,0.394138, 0.280137
pr_000939442,0.394138, 0.281016
pr_001061054,0.394138, 0.286941
pr_000294470,0.394138, 0.290505
pr_000618142,0.394138, 0.290837
pr_000444755,0.394138, 0.290897
pr_000298892,0.394138, 0.294078
pr_000749765,0.394138, 0.294884
pr_000295118,0.394138, 0.294884
pr_001956851,0.394138, 0.295674
pr_000624752,0.394138, 0.295674
pr_001107506,0.394138, 0.295674
pr_000295233,0.394138, 0.296945
pr_000294905,0.394138, 0.301287
pr_001610473,0.394138, 0.301287
pr_002066468,0.394138, 0.301287
pr_001988819,0.394138, 0.301525
pr_000622558,0.394138, 0.303488
pr_000942959,0.394138, 0.303488
pr_001059133,0.394138, 0.303488
pr_001061828,0.394138, 0.303488
pr_001057094,0.394138, 0.303488
pr_001059684,0.394138, 0.303488
pr_000619623,0.394138, 0.304017
pr_002183391,0.394138, 0.304021
pr_001627566,0.394138, 0.304021
pr_001062504,0.394138, 0.304021
pr_002223126,0.394138, 0.304021
pr_000998093,0.394138, 0.305892
pr_000627173,0.394138, 0.305892
pr_000749014,0.394138, 0.306141
pr_000627177,0.394138, 0.307928
pr_000978707,0.394138, 0.307928
pr_001013608,0.394138, 0.307928
pr_000886595,0.394138, 0.307928
pr_000164214,0.394138, 0.309057
pr_001642068,0.394138, 0.310762
pr_001102255,0.394138, 0.314885
pr_001655494,0.394138, 0.315897
