Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:199)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01200000,3.0,(3|16)
0.01191766,11.0,(31|47)
0.01190476,1.0,(1|24)
0.01190476,3.0,(49|10)
0.01183432,2.0,(9|41)
0.01176471,1.0,(35|42)
0.01162791,3.0,(12|25)
0.01162791,3.0,(16|40)
0.01159420,4.0,(48|47)
0.01149425,2.0,(1|27)
0.01142857,2.0,(19|26)
0.01127820,3.0,(14|28)
0.01126761,4.0,(0|30)
0.01123596,2.0,(5|22)
0.01123596,2.0,(13|15)
0.01111111,2.0,(4|20)
0.01111111,1.0,(7|26)
0.01111111,1.0,(11|30)
0.01111111,1.0,(24|24)
0.01108647,5.0,(9|33)
0.01102941,3.0,(30|25)
0.01101928,4.0,(21|28)
0.01092896,2.0,(7|25)
0.01086957,2.0,(42|40)
0.01075269,1.0,(4|22)
0.01075269,1.0,(22|36)
0.01071429,3.0,(28|48)
0.01069519,2.0,(7|15)
0.01063830,1.0,(13|21)
0.01062417,8.0,(4|24)
0.01061008,4.0,(24|11)
0.01047120,2.0,(4|13)
0.01030928,4.0,(29|27)
0.01025641,2.0,(48|17)
0.01015228,2.0,(34|3)
0.01000000,2.0,(17|24)
0.01000000,2.0,(30|47)
0.01000000,1.0,(41|39)
0.009950249,2.0,(0|5)
0.009950249,2.0,(24|2)
0.009950249,2.0,(25|3)
0.009933775,3.0,(1|23)
0.009852217,2.0,(6|4)
0.009740259,6.0,(49|11)
0.009708738,2.0,(13|28)
0.009708738,3.0,(26|22)
0.009708738,1.0,(32|2)
0.009615385,1.0,(15|8)
0.009569378,4.0,(43|42)
0.009416196,5.0,(20|20)
0.009404388,3.0,(1|35)
0.009276438,5.0,(16|28)
0.009259259,7.0,(0|23)
0.009216590,4.0,(22|27)
0.009174312,2.0,(0|38)
0.009174312,2.0,(0|39)
0.009090909,1.0,(31|0)
0.008960574,5.0,(11|20)
0.008928572,3.0,(7|19)
0.008928572,1.0,(13|26)
0.008875740,3.0,(13|3)
0.008810572,2.0,(14|1)
0.008639309,4.0,(46|46)
0.008620690,1.0,(27|14)
0.008547009,1.0,(0|14)
0.008462624,6.0,(8|20)
0.008403362,1.0,(9|25)
0.008385744,4.0,(48|44)
0.008333334,2.0,(38|12)
0.008196721,1.0,(22|7)
0.008130081,3.0,(2|24)
0.008064516,1.0,(1|15)
0.008064516,2.0,(19|27)
0.008064516,2.0,(25|15)
0.008032128,2.0,(17|31)
0.007952286,4.0,(25|32)
0.007936508,1.0,(10|4)
0.007874016,1.0,(19|21)
0.007874016,1.0,(42|15)
0.007843138,2.0,(1|21)
0.007843138,2.0,(18|30)
0.007692308,2.0,(22|25)
0.007590133,4.0,(28|33)
0.007518797,3.0,(21|22)
0.007462686,1.0,(5|20)
0.007462686,3.0,(15|37)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007407407,2.0,(24|19)
0.007352941,1.0,(21|7)
0.007155635,4.0,(14|35)
0.007142857,1.0,(0|20)
0.007142857,1.0,(5|26)
0.007092198,1.0,(11|15)
0.007042253,1.0,(8|5)
0.006993007,2.0,(15|6)
0.006896552,1.0,(14|33)
0.006896552,2.0,(31|46)
0.006872852,2.0,(5|27)
0.006666667,1.0,(3|19)
0.006622517,1.0,(23|48)
0.006578947,1.0,(8|22)
0.006578947,1.0,(49|32)
0.006451613,1.0,(11|5)
0.006430868,2.0,(15|24)
0.006389776,2.0,(48|6)
0.006250000,2.0,(13|46)
