Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 216 | Accounting-Non-Profit (jp:216,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01282051,1.0,(0|44)
0.01282051,2.0,(38|9)
0.01242236,2.0,(47|41)
0.01242236,2.0,(48|41)
0.01226994,4.0,(35|18)
0.01219512,1.0,(32|48)
0.01219512,1.0,(34|46)
0.01219512,3.0,(47|22)
0.01197605,4.0,(46|0)
0.01183432,2.0,(48|21)
0.01173021,4.0,(39|11)
0.01166181,4.0,(35|16)
0.01162791,3.0,(41|34)
0.01162791,6.0,(43|25)
0.01156069,2.0,(34|15)
0.01152738,4.0,(44|49)
0.01149425,1.0,(37|27)
0.01149425,4.0,(39|17)
0.01142857,2.0,(42|37)
0.01140684,3.0,(44|48)
0.01136364,1.0,(46|12)
0.01136364,1.0,(47|12)
0.01136364,3.0,(47|14)
0.01127820,3.0,(37|19)
0.01092896,2.0,(48|0)
0.01081081,4.0,(42|30)
0.01079914,5.0,(46|46)
0.01052632,2.0,(45|5)
0.01048218,5.0,(48|44)
0.01047120,2.0,(40|26)
0.01041667,1.0,(35|47)
0.01028278,4.0,(44|47)
0.01025641,2.0,(34|18)
0.01025641,2.0,(48|17)
0.01020408,2.0,(36|19)
0.01010101,2.0,(43|18)
0.01010101,2.0,(44|21)
0.01005025,2.0,(46|3)
0.009950249,2.0,(43|46)
0.009950249,2.0,(44|18)
0.009900990,2.0,(42|6)
0.009708738,2.0,(47|18)
0.009478673,2.0,(31|19)
0.009478673,2.0,(38|21)
0.009433962,1.0,(45|41)
0.009411764,4.0,(38|23)
0.009404388,3.0,(47|16)
0.009345794,1.0,(32|36)
0.009345794,5.0,(38|24)
0.009345794,3.0,(38|29)
0.009174312,2.0,(39|12)
0.009090909,1.0,(2|37)
0.009063444,3.0,(34|17)
0.009009009,2.0,(48|13)
0.008955223,3.0,(35|4)
0.008928572,1.0,(36|21)
0.008849557,2.0,(43|21)
0.008823530,3.0,(41|23)
0.008720931,3.0,(22|0)
0.008645534,3.0,(47|17)
0.008510638,2.0,(22|26)
0.008510638,2.0,(44|29)
0.008474576,2.0,(37|29)
0.008474576,1.0,(40|38)
0.008474576,1.0,(40|47)
0.008438818,2.0,(35|12)
0.008368201,2.0,(38|17)
0.008333334,1.0,(5|42)
0.008264462,2.0,(13|30)
0.008264462,2.0,(35|9)
0.008163265,2.0,(42|13)
0.008076359,11.0,(30|21)
0.008064516,2.0,(35|48)
0.007936508,2.0,(37|14)
0.007926024,6.0,(33|23)
0.007812500,2.0,(6|36)
0.007812500,1.0,(43|0)
0.007490637,2.0,(41|8)
0.007434944,2.0,(37|20)
0.007407407,2.0,(39|21)
0.007299270,1.0,(44|39)
0.007211538,3.0,(33|24)
0.007017544,2.0,(40|11)
0.006993007,1.0,(0|43)
0.006993007,2.0,(40|10)
0.006968641,2.0,(40|28)
0.006833713,3.0,(43|23)
0.006825938,2.0,(44|44)
0.006711409,2.0,(49|15)
0.006666667,1.0,(38|10)
0.006666667,1.0,(45|20)
0.006600660,2.0,(41|25)
0.006410256,2.0,(34|13)
0.006410256,2.0,(35|13)
0.006410256,1.0,(44|40)
0.006289308,2.0,(36|20)
0.006172840,1.0,(41|43)
0.005952381,1.0,(0|27)
0.005813953,2.0,(34|49)
0.005780347,1.0,(44|37)
0.005649718,2.0,(39|25)
0.005649718,2.0,(40|22)
0.005509642,2.0,(7|20)
0.005434783,1.0,(5|6)
0.005390835,2.0,(43|26)
0.005279831,5.0,(33|37)
0.005235602,4.0,(45|47)
0.005221932,2.0,(26|34)
0.005154639,1.0,(47|43)
0.005128205,1.0,(47|11)
0.005050505,2.0,(38|45)
0.005025126,2.0,(41|27)
0.004975124,1.0,(32|26)
0.004907975,4.0,(23|49)
0.004907975,4.0,(36|26)
0.004878049,1.0,(9|9)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004716981,2.0,(48|16)
0.004651163,1.0,(42|17)
0.004553734,5.0,(34|48)
0.004524887,1.0,(2|21)
0.004504505,1.0,(27|29)
0.004444445,1.0,(39|16)
0.004444445,1.0,(43|17)
0.004366812,1.0,(39|27)
0.004201681,1.0,(42|23)
0.004175365,2.0,(34|37)
0.004158004,2.0,(32|25)
0.004109589,3.0,(33|36)
0.004065040,2.0,(27|37)
0.004000000,2.0,(32|27)
0.003976143,2.0,(37|28)
0.003937008,1.0,(42|22)
0.003913894,2.0,(32|44)
0.003903201,5.0,(47|49)
0.003891051,2.0,(0|42)
0.003831418,1.0,(37|7)
0.003787879,1.0,(49|46)
0.003752345,2.0,(33|38)
0.003703704,1.0,(37|24)
0.003676471,1.0,(30|25)
0.003597122,2.0,(38|48)
0.003575685,3.0,(41|38)
0.003322259,1.0,(47|15)
0.003257329,1.0,(39|18)
0.003246753,2.0,(49|11)
0.003051882,3.0,(35|25)
0.003048780,1.0,(40|40)
0.003045685,3.0,(23|37)
0.003025718,2.0,(29|28)
0.002915452,1.0,(49|19)
0.002894356,2.0,(39|38)
0.002717391,2.0,(14|24)
0.002656043,2.0,(4|24)
0.002635046,2.0,(36|36)
0.002631579,1.0,(1|13)
0.002628121,2.0,(43|28)
0.002610966,1.0,(24|6)
0.002500000,1.0,(40|19)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002284844,3.0,(32|35)
0.002141328,1.0,(8|35)
0.002132196,1.0,(32|34)
0.002020202,1.0,(39|45)
0.002004008,1.0,(36|23)
0.001988071,1.0,(25|32)
0.001897533,1.0,(38|44)
0.001876173,1.0,(38|43)
0.001855288,1.0,(38|41)
0.001805054,1.0,(29|34)
0.001785714,1.0,(0|26)
0.001769911,4.0,(34|24)
0.001740644,2.0,(36|29)
0.001724138,1.0,(37|46)
0.001703577,1.0,(38|32)
0.001672241,2.0,(38|47)
0.001620746,1.0,(39|34)
0.001620746,1.0,(40|33)
0.001529052,2.0,(36|34)
0.001512859,1.0,(36|33)
0.001207729,1.0,(30|35)
0.001166861,1.0,(31|29)
0.001092299,2.0,(34|35)
0.001043841,1.0,(17|28)
0.0007686395,1.0,(29|36)
0.0007127584,1.0,(20|39)
0.0006082725,1.0,(35|40)
