Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 401 | RP Finance-Tax (jp:401,idx:236)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02298851,4.0,(1|27)
0.02298851,2.0,(19|30)
0.02272727,3.0,(2|18)
0.02272727,2.0,(45|33)
0.02272727,2.0,(46|12)
0.02272727,2.0,(47|12)
0.02242152,5.0,(48|43)
0.02238806,3.0,(5|20)
0.02205882,3.0,(10|10)
0.02197802,4.0,(0|9)
0.02173913,2.0,(8|17)
0.02150538,4.0,(10|9)
0.02127660,1.0,(4|49)
0.02127660,1.0,(6|5)
0.02127660,5.0,(22|26)
0.02127660,1.0,(43|48)
0.02105263,8.0,(1|13)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02097902,3.0,(1|7)
0.02097902,3.0,(49|7)
0.02061856,2.0,(35|45)
0.02051282,8.0,(17|33)
0.02040816,3.0,(15|21)
0.02040816,1.0,(47|28)
0.02027027,6.0,(19|22)
0.02000000,1.0,(25|24)
0.01960784,5.0,(6|13)
0.01960784,2.0,(30|0)
0.01953125,5.0,(6|36)
0.01941748,2.0,(41|42)
0.01923077,3.0,(41|21)
0.01904762,2.0,(11|28)
0.01895735,8.0,(35|34)
0.01886792,1.0,(3|30)
0.01886792,1.0,(35|6)
0.01886792,9.0,(48|44)
0.01880878,6.0,(49|17)
0.01851852,1.0,(3|7)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01843318,4.0,(44|42)
0.01818182,1.0,(0|29)
0.01818182,3.0,(14|22)
0.01769911,2.0,(22|30)
0.01754386,1.0,(15|17)
0.01754386,1.0,(20|30)
0.01754386,3.0,(35|30)
0.01750973,9.0,(0|42)
0.01744186,3.0,(10|30)
0.01744186,3.0,(42|35)
0.01744186,3.0,(45|42)
0.01744186,3.0,(45|43)
0.01731602,4.0,(41|5)
0.01724138,1.0,(12|13)
0.01724138,10.0,(18|22)
0.01724138,6.0,(32|18)
0.01694915,1.0,(7|16)
0.01694915,2.0,(12|27)
0.01694915,1.0,(13|17)
0.01694915,2.0,(14|20)
0.01694915,2.0,(24|1)
0.01694915,1.0,(34|36)
0.01666667,2.0,(3|34)
0.01666667,3.0,(4|20)
0.01648352,3.0,(27|27)
0.01630435,6.0,(2|12)
0.01626016,6.0,(40|44)
0.01612903,1.0,(4|45)
0.01612903,2.0,(17|15)
0.01608579,12.0,(3|22)
0.01607143,9.0,(0|26)
0.01600000,2.0,(46|2)
0.01595745,3.0,(28|23)
0.01593626,12.0,(4|24)
0.01592357,5.0,(27|30)
0.01587302,3.0,(2|33)
0.01587302,1.0,(3|13)
0.01587302,3.0,(6|17)
0.01587302,3.0,(12|38)
0.01566580,6.0,(37|13)
0.01552106,7.0,(9|33)
0.01538462,2.0,(10|24)
0.01538462,2.0,(19|19)
0.01538462,1.0,(27|44)
0.01538462,2.0,(37|11)
0.01515152,1.0,(21|21)
0.01515152,3.0,(44|19)
0.01510574,5.0,(45|10)
0.01503759,2.0,(40|29)
0.01503759,4.0,(43|22)
0.01492537,3.0,(35|0)
0.01481481,8.0,(17|32)
0.01477833,3.0,(10|7)
0.01470588,1.0,(17|14)
0.01470588,4.0,(30|25)
0.01470588,1.0,(30|26)
0.01466993,6.0,(48|15)
0.01459854,2.0,(38|11)
0.01456311,3.0,(13|28)
0.01456311,3.0,(47|18)
0.01449275,4.0,(33|4)
0.01449275,4.0,(34|5)
0.01449275,4.0,(42|8)
0.01449275,2.0,(45|30)
0.01435407,6.0,(43|42)
0.01428571,1.0,(27|25)
0.01418440,2.0,(1|28)
0.01408451,1.0,(1|25)
0.01408451,1.0,(3|44)
0.01408451,1.0,(20|33)
0.01408451,2.0,(32|21)
0.01408451,1.0,(42|42)
0.01398601,2.0,(36|48)
0.01393728,4.0,(46|35)
0.01388889,3.0,(20|32)
0.01388889,1.0,(37|22)
0.01388889,1.0,(38|42)
0.01384083,4.0,(43|36)
0.01379310,2.0,(46|18)
0.01369863,4.0,(15|26)
0.01369863,1.0,(46|44)
0.01347709,5.0,(37|8)
0.01333333,1.0,(3|9)
0.01333333,1.0,(5|9)
0.01333333,2.0,(11|11)
0.01333333,4.0,(42|7)
0.01333333,3.0,(43|17)
0.01315789,7.0,(9|7)
0.01315789,2.0,(14|19)
0.01315789,2.0,(40|4)
0.01310044,9.0,(9|27)
0.01307190,2.0,(18|23)
0.01295337,5.0,(41|37)
0.01293900,7.0,(4|21)
0.01290323,2.0,(8|12)
0.01290323,2.0,(46|20)
0.01286174,4.0,(35|19)
0.01282051,2.0,(41|1)
0.01282051,2.0,(44|40)
0.01282051,4.0,(45|14)
0.01279528,13.0,(17|19)
0.01277014,13.0,(21|31)
0.01276596,3.0,(3|11)
0.01273885,2.0,(24|38)
0.01273885,4.0,(29|25)
0.01265823,1.0,(12|9)
0.01260504,6.0,(10|23)
0.01260504,3.0,(48|20)
0.01252610,6.0,(5|43)
0.01250000,3.0,(38|12)
0.01246883,5.0,(32|3)
0.01242236,2.0,(1|33)
0.01238390,4.0,(24|28)
0.01232877,9.0,(33|36)
0.01230769,4.0,(20|31)
0.01223242,4.0,(38|8)
0.01219512,1.0,(12|16)
0.01210654,5.0,(25|22)
0.01197605,2.0,(44|33)
0.01197605,4.0,(46|0)
0.01183432,2.0,(23|30)
0.01153846,3.0,(15|13)
0.01152738,4.0,(47|17)
0.01142857,2.0,(42|37)
