Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 295 | Tax Law-Partnership (jp:295,idx:144)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03006012,15.0,(36|23)
0.03000000,9.0,(42|7)
0.02985075,6.0,(47|10)
0.02962963,4.0,(46|34)
0.02962963,4.0,(47|35)
0.02941176,3.0,(2|30)
0.02941176,1.0,(39|43)
0.02928870,7.0,(38|17)
0.02919708,4.0,(44|39)
0.02912621,3.0,(27|31)
0.02898551,10.0,(37|25)
0.02892562,7.0,(35|9)
0.02872063,11.0,(40|25)
0.02870813,6.0,(46|13)
0.02868852,7.0,(37|12)
0.02867384,8.0,(43|11)
0.02857143,2.0,(7|33)
0.02843602,6.0,(40|21)
0.02834008,7.0,(41|22)
0.02830189,3.0,(38|38)
0.02816901,10.0,(0|30)
0.02816901,2.0,(42|46)
0.02816901,2.0,(47|47)
0.02807018,8.0,(36|11)
0.02781641,20.0,(43|1)
0.02777778,2.0,(37|22)
0.02777778,6.0,(44|10)
0.02764977,6.0,(44|20)
0.02760736,9.0,(35|18)
0.02745098,7.0,(18|30)
0.02739726,8.0,(15|26)
0.02702703,2.0,(32|49)
0.02702703,7.0,(38|30)
0.02702703,1.0,(43|45)
0.02678571,3.0,(13|26)
0.02678571,3.0,(36|21)
0.02671756,7.0,(38|13)
0.02666667,4.0,(38|10)
0.02666667,2.0,(45|19)
0.02660754,12.0,(9|33)
0.02641509,7.0,(40|23)
0.02631579,1.0,(22|46)
0.02631579,7.0,(37|19)
0.02631579,4.0,(43|6)
0.02631579,7.0,(43|22)
0.02620087,6.0,(39|27)
0.02597403,6.0,(38|2)
0.02590674,10.0,(41|37)
0.02564103,3.0,(0|14)
0.02564103,1.0,(17|34)
0.02564103,6.0,(37|49)
0.02564103,4.0,(38|9)
0.02564103,8.0,(45|14)
0.02564103,2.0,(47|44)
0.02542373,3.0,(43|49)
0.02542373,3.0,(47|6)
0.02523659,8.0,(46|49)
0.02523659,8.0,(47|21)
0.02521008,3.0,(36|2)
0.02521008,9.0,(39|14)
0.02521008,6.0,(42|23)
0.02504472,14.0,(28|29)
0.02500000,3.0,(33|48)
0.02500000,2.0,(43|38)
0.02487562,5.0,(32|26)
0.02484472,4.0,(47|41)
0.02484472,4.0,(48|41)
0.02479339,3.0,(4|26)
0.02463054,5.0,(40|46)
0.02459016,6.0,(40|15)
0.02447552,7.0,(40|10)
0.02439024,3.0,(8|27)
0.02439024,5.0,(9|9)
0.02439024,7.0,(44|32)
0.02439024,6.0,(47|22)
0.02424242,4.0,(47|19)
0.02419355,3.0,(13|32)
0.02409638,2.0,(34|16)
0.02404810,12.0,(14|32)
0.02380952,2.0,(6|46)
0.02380952,3.0,(32|20)
0.02366864,4.0,(41|9)
0.02358491,5.0,(43|20)
0.02339181,4.0,(8|29)
0.02339181,4.0,(48|33)
0.02325581,3.0,(8|26)
0.02325581,4.0,(45|42)
0.02325581,4.0,(45|43)
0.02325581,2.0,(47|7)
0.02307692,3.0,(47|2)
0.02298851,4.0,(1|27)
0.02298851,2.0,(18|26)
0.02298851,2.0,(19|30)
0.02298851,2.0,(20|14)
0.02293578,5.0,(0|38)
0.02293578,5.0,(0|39)
0.02285714,4.0,(41|20)
0.02284264,9.0,(39|30)
0.02280130,7.0,(39|18)
0.02272727,1.0,(22|17)
0.02272727,1.0,(22|34)
0.02272727,2.0,(32|23)
0.02272727,1.0,(38|34)
0.02272727,4.0,(46|24)
0.02272727,3.0,(48|2)
0.02259887,4.0,(47|42)
0.02255639,6.0,(14|28)
0.02255639,6.0,(43|24)
0.02252252,5.0,(27|29)
0.02250804,7.0,(35|19)
0.02236422,7.0,(14|27)
0.02230483,6.0,(37|20)
0.02226345,12.0,(38|41)
0.02222222,6.0,(39|21)
0.02222222,1.0,(45|44)
0.02209945,4.0,(36|16)
0.02202643,5.0,(43|37)
0.02186879,11.0,(37|28)
0.02183406,5.0,(39|15)
0.02173913,3.0,(49|40)
0.02162162,4.0,(36|5)
0.02150538,4.0,(38|6)
0.02150538,6.0,(41|11)
0.02136752,5.0,(36|44)
0.02136752,5.0,(43|3)
0.02134146,7.0,(39|37)
0.02127660,4.0,(15|31)
0.02118644,5.0,(28|30)
0.02116402,4.0,(12|38)
0.02106969,13.0,(39|34)
0.02106969,13.0,(40|33)
0.02105263,2.0,(9|17)
0.02105263,4.0,(38|3)
0.02105263,4.0,(41|6)
0.02090592,6.0,(40|28)
0.02083333,4.0,(20|25)
0.02063790,11.0,(33|38)
0.02061856,4.0,(4|17)
0.02061856,6.0,(5|27)
0.02061856,8.0,(29|27)
0.02061856,4.0,(47|43)
0.02013423,6.0,(45|36)
0.02010050,4.0,(46|3)
0.02000000,2.0,(33|0)
0.02000000,1.0,(37|0)
0.02000000,1.0,(49|6)
0.01990050,4.0,(43|46)
0.01980198,2.0,(30|49)
0.01977401,7.0,(39|28)
0.01973684,3.0,(36|24)
0.01973684,3.0,(40|4)
0.01970443,4.0,(48|7)
0.01960784,2.0,(11|1)
0.01960784,3.0,(34|2)
0.01960784,5.0,(43|10)
0.01935484,6.0,(38|14)
0.01907357,7.0,(37|23)
0.01904762,6.0,(49|42)
0.01886792,1.0,(3|30)
0.01886792,2.0,(17|0)
0.01886792,2.0,(42|1)
0.01886792,4.0,(45|0)
0.01880878,6.0,(48|1)
0.01871102,9.0,(32|25)
0.01869159,4.0,(23|25)
0.01869159,6.0,(38|29)
0.01869159,2.0,(43|31)
0.01861702,7.0,(38|25)
0.01851852,2.0,(4|25)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01851852,5.0,(37|24)
0.01845018,5.0,(41|36)
0.01843318,4.0,(43|19)
0.01834862,2.0,(21|27)
0.01832461,14.0,(45|47)
0.01828154,10.0,(16|29)
0.01808785,7.0,(31|32)
0.01807229,3.0,(26|47)
0.01801802,2.0,(35|2)
0.01796407,6.0,(46|0)
0.01785714,3.0,(0|27)
0.01777778,4.0,(39|16)
0.01773050,5.0,(17|25)
0.01769911,2.0,(22|30)
0.01766784,10.0,(38|0)
0.01758794,7.0,(10|29)
0.01754386,2.0,(10|40)
0.01754386,1.0,(13|13)
0.01754386,1.0,(15|17)
0.01754386,1.0,(33|34)
0.01744186,9.0,(43|25)
0.01739130,4.0,(7|7)
0.01739130,6.0,(48|47)
0.01724138,5.0,(31|46)
0.01724138,4.0,(35|49)
0.01724138,6.0,(39|17)
0.01709402,2.0,(1|49)
0.01703577,10.0,(29|29)
0.01694915,1.0,(10|38)
0.01694915,9.0,(20|20)
0.01694915,4.0,(37|29)
0.01694915,4.0,(39|19)
0.01694915,2.0,(40|38)
0.01685393,3.0,(5|22)
0.01680672,6.0,(31|27)
0.01657459,3.0,(49|27)
0.01639344,5.0,(33|22)
0.01627670,16.0,(35|25)
0.01626016,2.0,(1|16)
0.01626016,2.0,(7|14)
0.01626016,2.0,(8|36)
0.01602564,5.0,(34|13)
0.01602564,5.0,(35|13)
0.01600000,2.0,(12|44)
0.01600000,2.0,(38|27)
0.01587302,1.0,(1|12)
0.01587302,1.0,(2|11)
0.01587302,1.0,(2|13)
0.01587302,1.0,(3|0)
0.01587302,1.0,(3|12)
0.01587302,1.0,(3|48)
0.01587302,2.0,(11|18)
0.01587302,2.0,(46|21)
0.01578947,3.0,(48|48)
0.01568628,4.0,(40|24)
0.01559454,8.0,(41|48)
0.01551724,9.0,(37|46)
0.01550388,4.0,(36|30)
0.01550388,2.0,(49|33)
0.01538462,2.0,(37|11)
0.01533742,5.0,(44|1)
0.01532567,4.0,(37|9)
0.01531394,10.0,(18|27)
0.01530612,3.0,(4|7)
0.01526718,4.0,(35|43)
0.01524390,5.0,(41|4)
0.01520913,4.0,(36|43)
0.01520913,4.0,(40|16)
0.01515152,1.0,(6|26)
0.01515152,1.0,(12|33)
0.01515152,1.0,(21|21)
0.01515152,1.0,(47|20)
0.01503759,4.0,(7|8)
0.01500938,8.0,(38|43)
0.01492537,1.0,(18|16)
0.01492537,2.0,(44|4)
0.01481481,8.0,(17|32)
0.01466993,6.0,(41|32)
0.01454545,4.0,(48|23)
0.01449275,1.0,(39|36)
0.01449275,4.0,(42|8)
0.01445466,11.0,(43|28)
0.01441441,8.0,(46|5)
0.01441441,8.0,(47|4)
0.01441441,8.0,(47|5)
0.01438849,2.0,(0|22)
0.01438849,2.0,(43|39)
0.01428571,2.0,(5|26)
0.01428571,5.0,(36|17)
0.01419989,26.0,(34|35)
0.01418440,2.0,(1|28)
0.01408451,1.0,(3|44)
0.01408451,2.0,(32|21)
0.01408451,1.0,(34|29)
0.01408451,2.0,(42|24)
0.01408451,2.0,(47|3)
0.01401869,3.0,(44|15)
0.01398601,14.0,(31|31)
0.01395349,6.0,(18|29)
0.01391036,9.0,(8|28)
0.01388889,4.0,(9|31)
0.01388889,4.0,(42|3)
0.01382488,3.0,(36|3)
0.01376147,3.0,(37|10)
0.01369863,4.0,(40|48)
0.01366743,6.0,(43|23)
0.01363636,3.0,(42|34)
0.01361573,9.0,(29|28)
0.01360544,2.0,(5|21)
0.01351351,1.0,(49|25)
0.01348039,11.0,(28|28)
0.01345291,3.0,(48|43)
0.01339713,14.0,(31|33)
0.01333333,2.0,(2|49)
0.01333333,2.0,(3|19)
0.01333333,2.0,(4|46)
0.01333333,2.0,(33|18)
0.01333333,3.0,(43|17)
0.01333333,2.0,(46|22)
0.01324503,4.0,(1|23)
0.01324503,4.0,(43|47)
0.01324503,2.0,(49|8)
0.01315789,2.0,(14|19)
0.01315789,2.0,(37|39)
0.01315789,2.0,(49|32)
0.01307190,2.0,(48|36)
0.01304348,6.0,(47|23)
0.01298701,1.0,(26|24)
0.01298701,5.0,(37|30)
0.01290323,2.0,(47|0)
0.01277955,4.0,(42|29)
0.01276596,3.0,(44|29)
0.01273885,2.0,(24|38)
0.01267159,12.0,(33|37)
0.01250000,2.0,(24|23)
0.01250000,2.0,(34|22)
0.01250000,1.0,(35|31)
0.01246883,5.0,(38|28)
0.01234568,1.0,(7|27)
0.01234568,1.0,(12|35)
0.01219512,2.0,(22|9)
0.01204819,3.0,(5|18)
0.01191766,11.0,(31|47)
0.01190476,1.0,(1|24)
0.01190476,2.0,(13|4)
