Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 222 | Contracts (jp:222,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01055409,4.0,(28|22)
0.01052632,1.0,(17|11)
0.01052632,1.0,(37|38)
0.01047120,2.0,(2|47)
0.01041667,2.0,(4|14)
0.01041667,2.0,(4|15)
0.01041667,1.0,(24|36)
0.01041667,1.0,(28|13)
0.01041667,1.0,(35|47)
0.01041667,1.0,(42|48)
0.01030928,1.0,(2|46)
0.01030928,2.0,(4|17)
0.01028278,4.0,(21|6)
0.01027397,3.0,(6|23)
0.01022495,5.0,(22|8)
0.01020408,2.0,(4|7)
0.01020408,1.0,(29|7)
0.01020408,1.0,(49|28)
0.009950249,2.0,(25|3)
0.009900990,6.0,(26|33)
0.009900990,1.0,(30|49)
0.009852217,2.0,(2|20)
0.009852217,2.0,(3|26)
0.009852217,2.0,(48|7)
0.009803922,3.0,(4|9)
0.009803922,2.0,(16|31)
0.009803922,1.0,(27|42)
0.009803922,1.0,(30|0)
0.009756098,2.0,(9|9)
0.009708738,1.0,(4|4)
0.009615385,1.0,(31|15)
0.009584664,3.0,(14|27)
0.009433962,2.0,(11|9)
0.009404388,3.0,(49|17)
0.009389671,2.0,(15|29)
0.009389671,2.0,(19|24)
0.009389671,2.0,(25|7)
0.009367681,4.0,(28|2)
0.009345794,1.0,(32|36)
0.009174312,1.0,(13|48)
0.009174312,1.0,(17|16)
0.009146341,3.0,(41|4)
0.009132420,2.0,(30|15)
0.009118541,3.0,(26|8)
0.009090909,2.0,(0|25)
0.009090909,1.0,(0|34)
0.009090909,2.0,(1|22)
0.009090909,1.0,(2|37)
0.009090909,1.0,(4|36)
0.009090909,2.0,(6|18)
0.009090909,1.0,(7|48)
0.009090909,1.0,(13|49)
0.009090909,4.0,(29|24)
0.009049774,2.0,(2|21)
0.009049774,2.0,(27|2)
0.009009009,3.0,(30|46)
0.008928572,1.0,(13|26)
0.008928572,2.0,(21|18)
0.008771930,1.0,(31|41)
0.008658009,2.0,(0|49)
0.008620690,1.0,(24|14)
0.008620690,2.0,(30|44)
0.008547009,1.0,(0|14)
0.008510638,2.0,(3|11)
