Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 198 | Corporate Finance (jp:198,idx:53)
Class Probability,Ex Count at BMU,BMU Map Loc
0.005714286,1.0,(3|17)
0.005714286,1.0,(11|22)
0.005714286,1.0,(42|37)
0.005681818,1.0,(0|0)
0.005681818,1.0,(28|3)
0.005681818,2.0,(49|16)
0.005649718,1.0,(25|14)
0.005649718,2.0,(40|22)
0.005641749,4.0,(8|20)
0.005524862,1.0,(49|27)
0.005509642,2.0,(21|28)
0.005494506,2.0,(11|41)
0.005479452,2.0,(9|42)
0.005464481,1.0,(7|25)
0.005405406,1.0,(3|46)
0.005380476,7.0,(29|36)
0.005376344,1.0,(41|49)
0.005361930,4.0,(3|22)
0.005361930,2.0,(14|40)
0.005305040,2.0,(22|3)
0.005291005,4.0,(0|23)
0.005291005,1.0,(2|33)
0.005208333,1.0,(3|37)
0.005208333,1.0,(28|10)
0.005199307,3.0,(12|4)
0.005161291,4.0,(17|36)
0.005102041,1.0,(34|20)
0.005076142,1.0,(6|27)
0.005076142,3.0,(8|21)
0.005063291,2.0,(20|17)
0.005050505,2.0,(38|45)
0.005037783,2.0,(0|37)
0.005025126,1.0,(23|22)
0.005000000,1.0,(2|36)
0.004987531,2.0,(38|28)
0.004975124,1.0,(0|5)
0.004975124,1.0,(43|46)
0.004968944,4.0,(4|30)
0.004926108,1.0,(40|36)
0.004926108,1.0,(40|46)
0.004739337,1.0,(40|21)
0.004728132,2.0,(9|38)
0.004672897,1.0,(23|25)
0.004651163,2.0,(19|5)
0.004629630,1.0,(44|10)
0.004608295,1.0,(6|22)
0.004587156,1.0,(49|37)
0.004566210,1.0,(27|10)
0.004566210,1.0,(48|38)
0.004566210,1.0,(48|39)
0.004545454,1.0,(0|25)
0.004545454,1.0,(42|34)
0.004538578,3.0,(7|31)
0.004489338,4.0,(31|36)
0.004484305,1.0,(48|43)
0.004464286,1.0,(22|12)
0.004405286,1.0,(15|34)
0.004379562,3.0,(23|36)
0.004379562,3.0,(23|38)
0.004366812,3.0,(9|27)
0.004347826,1.0,(45|49)
0.004314994,4.0,(28|31)
0.004291845,1.0,(46|32)
0.004273504,1.0,(37|49)
0.004264392,2.0,(22|28)
0.004264392,2.0,(25|18)
0.004255319,1.0,(22|26)
0.004255319,1.0,(44|29)
0.004184100,1.0,(34|44)
0.004175365,2.0,(34|37)
0.004166667,1.0,(38|12)
0.004085802,4.0,(29|37)
0.004048583,1.0,(41|22)
0.003952569,2.0,(25|30)
0.003937008,1.0,(41|7)
0.003937008,1.0,(42|22)
0.003921569,1.0,(1|21)
0.003875969,1.0,(35|32)
0.003846154,1.0,(15|13)
0.003745318,1.0,(12|42)
0.003745318,1.0,(41|8)
0.003724395,2.0,(46|38)
0.003690037,1.0,(41|36)
0.003683241,2.0,(26|19)
0.003676471,3.0,(28|24)
0.003676471,3.0,(28|28)
0.003649635,1.0,(32|15)
0.003627569,3.0,(24|35)
0.003623188,1.0,(33|4)
0.003623188,1.0,(34|5)
0.003614458,3.0,(24|30)
0.003614458,3.0,(24|31)
0.003597122,2.0,(38|48)
0.003571429,1.0,(29|16)
0.003571429,3.0,(35|15)
0.003496503,1.0,(48|5)
0.003484321,1.0,(44|32)
0.003460208,1.0,(39|23)
0.003430532,2.0,(30|5)
0.003407155,2.0,(29|29)
0.003355705,1.0,(40|34)
0.003344482,2.0,(20|44)
0.003289474,1.0,(28|43)
0.003257329,1.0,(39|44)
0.003236246,1.0,(22|18)
0.003200000,2.0,(36|45)
0.003048780,1.0,(39|37)
0.003021148,1.0,(34|17)
0.003012048,1.0,(40|6)
0.002941177,1.0,(41|23)
0.002915452,1.0,(14|36)
0.002915452,1.0,(35|16)
0.002915452,1.0,(49|19)
0.002890173,1.0,(8|33)
0.002865330,3.0,(19|34)
0.002766252,2.0,(7|30)
0.002754821,1.0,(38|37)
0.002688172,1.0,(18|34)
0.002659574,1.0,(31|2)
0.002638523,1.0,(28|22)
0.002610966,1.0,(16|25)
0.002583979,1.0,(22|42)
0.002564103,1.0,(23|45)
0.002506266,1.0,(23|18)
0.002341920,1.0,(20|8)
0.002331002,3.0,(26|31)
0.002304147,1.0,(22|27)
0.002298851,1.0,(17|38)
0.002288329,1.0,(33|47)
0.002254791,2.0,(20|41)
0.002197802,1.0,(27|34)
0.002192982,1.0,(32|43)
0.002155172,3.0,(28|35)
0.002141328,1.0,(8|35)
0.002132196,1.0,(22|13)
0.002132196,1.0,(32|34)
