Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 91 | ERISA (jp:91,idx:26)
Class Probability,Ex Count at BMU,BMU Map Loc
0.005464481,2.0,(15|4)
0.005405406,1.0,(45|34)
0.005376344,1.0,(6|34)
0.005376344,1.0,(38|6)
0.005319149,1.0,(28|23)
0.005291005,1.0,(12|38)
0.005291005,1.0,(22|47)
0.005235602,4.0,(45|47)
0.005199307,3.0,(12|4)
0.005181347,1.0,(4|3)
0.005181347,1.0,(4|34)
0.005154639,1.0,(47|43)
0.005144033,5.0,(27|45)
0.005141388,2.0,(44|47)
0.005128205,2.0,(17|33)
0.005128205,1.0,(42|49)
0.005128205,1.0,(48|17)
0.005102041,1.0,(34|20)
0.005025126,2.0,(10|29)
0.005016722,3.0,(20|44)
0.004987531,2.0,(32|3)
0.004975124,2.0,(15|37)
0.004975124,1.0,(17|22)
0.004950495,1.0,(42|6)
0.004926108,2.0,(19|12)
0.004926108,2.0,(20|12)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004854369,1.0,(13|28)
0.004784689,1.0,(42|20)
0.004784689,2.0,(43|42)
0.004694836,1.0,(15|29)
0.004694836,1.0,(34|19)
0.004672897,1.0,(14|18)
0.004597701,2.0,(25|37)
0.004587156,1.0,(33|14)
0.004545454,2.0,(29|24)
0.004545454,1.0,(42|34)
0.004524887,1.0,(0|4)
0.004464286,1.0,(6|30)
0.004464286,1.0,(22|12)
0.004454343,2.0,(42|41)
0.004444445,3.0,(12|5)
0.004444445,1.0,(21|5)
0.004444445,1.0,(22|6)
0.004405286,1.0,(14|1)
0.004405286,2.0,(18|15)
0.004395605,2.0,(27|34)
0.004347826,1.0,(7|7)
0.004329004,1.0,(1|9)
0.004329004,1.0,(2|9)
0.004319654,2.0,(46|46)
0.004264392,2.0,(22|13)
0.004201681,1.0,(6|45)
0.004192872,2.0,(48|44)
0.004115226,1.0,(39|29)
0.004081632,1.0,(17|41)
0.004016064,1.0,(5|18)
0.003968254,1.0,(49|10)
0.003937008,1.0,(41|7)
0.003929273,2.0,(10|21)
0.003906250,1.0,(26|37)
0.003891051,2.0,(0|42)
0.003875969,1.0,(16|40)
0.003861004,1.0,(33|15)
0.003846154,1.0,(2|28)
0.003846154,1.0,(13|14)
0.003846154,1.0,(15|13)
0.003846154,1.0,(22|25)
0.003787879,2.0,(19|18)
0.003787879,1.0,(47|14)
0.003745318,1.0,(40|37)
0.003731343,1.0,(3|15)
0.003731343,1.0,(42|5)
0.003703704,1.0,(13|18)
0.003676471,1.0,(18|39)
0.003627569,3.0,(24|35)
0.003603604,2.0,(16|2)
0.003584229,2.0,(11|20)
0.003571429,1.0,(4|27)
0.003496503,1.0,(15|6)
0.003448276,2.0,(18|22)
0.003436426,1.0,(14|34)
0.003367003,2.0,(14|0)
0.003355705,1.0,(40|34)
0.003300330,1.0,(41|25)
0.003246753,2.0,(49|11)
0.003215434,1.0,(33|6)
0.003194888,1.0,(48|6)
0.003184713,1.0,(6|2)
0.003184713,1.0,(27|30)
0.003067485,1.0,(25|41)
0.003058104,1.0,(17|45)
0.003003003,1.0,(20|42)
0.002994012,1.0,(34|11)
0.002994012,1.0,(35|11)
0.002923977,1.0,(12|47)
0.002923977,1.0,(13|7)
0.002915452,1.0,(35|16)
0.002911208,2.0,(9|27)
0.002772643,3.0,(15|40)
0.002770083,1.0,(17|29)
0.002754821,1.0,(13|9)
0.002754821,1.0,(21|28)
0.002754821,1.0,(38|37)
0.002732240,1.0,(32|42)
0.002680965,1.0,(21|46)
0.002652520,1.0,(22|3)
0.002638523,1.0,(28|22)
0.002597403,1.0,(3|42)
0.002597403,1.0,(37|30)
0.002590674,1.0,(41|37)
0.002518892,1.0,(13|22)
0.002506266,1.0,(21|22)
0.002481390,1.0,(25|26)
0.002415459,1.0,(9|18)
0.002358491,1.0,(16|38)
0.002304147,1.0,(22|27)
0.002298851,1.0,(38|5)
0.002283105,1.0,(19|16)
0.002141328,1.0,(8|35)
0.002092050,1.0,(15|46)
0.002087683,1.0,(5|43)
0.002081166,2.0,(21|37)
0.002079002,1.0,(32|25)
0.002044990,1.0,(22|8)
0.002024292,1.0,(15|33)
0.001988071,1.0,(25|32)
0.001897533,1.0,(28|33)
0.001883239,1.0,(20|20)
0.001831502,1.0,(25|43)
0.001805054,1.0,(29|34)
0.001798561,1.0,(38|48)
0.001600000,1.0,(13|27)
0.001560062,1.0,(20|35)
0.001531394,1.0,(18|27)
0.001499250,1.0,(20|27)
0.001479290,1.0,(40|35)
0.001447178,1.0,(39|38)
0.001426534,1.0,(21|30)
0.001406470,1.0,(14|25)
0.001367989,1.0,(19|29)
0.001317523,1.0,(36|36)
0.001204819,1.0,(24|30)
0.001204819,1.0,(24|31)
0.001191895,1.0,(41|38)
0.001127396,1.0,(20|41)
0.001111111,1.0,(8|39)
0.001083424,1.0,(31|47)
0.001043841,1.0,(17|28)
0.0009842520,1.0,(17|19)
0.0009551098,1.0,(19|34)
0.0009372071,1.0,(28|36)
0.0007342144,1.0,(30|21)
0.0007183908,1.0,(28|35)
0.0004361099,1.0,(34|32)
