Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 208 | Private Equity (jp:208,idx:58)
Class Probability,Ex Count at BMU,BMU Map Loc
0.005037783,2.0,(0|37)
0.005025126,1.0,(7|10)
0.005025126,1.0,(23|22)
0.005000000,1.0,(2|36)
0.004987531,2.0,(38|28)
0.004975124,1.0,(25|3)
0.004975124,1.0,(43|46)
0.004950495,1.0,(8|9)
0.004926108,1.0,(40|36)
0.004926108,1.0,(40|46)
0.004800000,3.0,(36|45)
0.004739337,1.0,(27|1)
0.004739337,2.0,(35|34)
0.004739337,1.0,(40|21)
0.004716981,1.0,(11|9)
0.004694836,1.0,(12|29)
0.004672897,1.0,(23|25)
0.004636785,3.0,(8|28)
0.004629630,1.0,(44|10)
0.004622496,3.0,(20|36)
0.004566210,1.0,(27|10)
0.004545454,1.0,(0|25)
0.004545454,1.0,(1|22)
0.004545454,1.0,(42|34)
0.004538578,3.0,(7|31)
0.004511278,3.0,(35|44)
0.004464286,1.0,(16|15)
0.004464286,1.0,(22|12)
0.004464286,1.0,(24|37)
0.004424779,1.0,(8|19)
0.004405286,1.0,(15|34)
0.004385965,1.0,(1|26)
0.004385965,1.0,(9|26)
0.004291845,1.0,(46|32)
0.004273504,1.0,(36|44)
0.004264392,2.0,(22|28)
0.004231312,3.0,(8|20)
0.004219409,1.0,(12|10)
0.004219409,3.0,(14|25)
0.004166667,1.0,(38|12)
0.004048583,2.0,(10|34)
0.004048583,1.0,(41|22)
0.004010025,8.0,(22|35)
0.003984064,3.0,(4|24)
0.003937008,1.0,(41|7)
0.003937008,1.0,(42|22)
0.003921569,1.0,(8|8)
0.003913894,2.0,(32|44)
0.003898636,2.0,(41|48)
0.003891051,1.0,(20|26)
0.003875969,1.0,(35|32)
0.003846154,1.0,(13|14)
0.003820439,4.0,(19|34)
0.003802281,1.0,(36|43)
0.003745318,1.0,(41|8)
0.003703704,1.0,(13|18)
0.003690037,1.0,(41|36)
0.003649635,1.0,(17|17)
0.003623188,1.0,(33|4)
0.003623188,1.0,(34|5)
0.003597122,2.0,(38|48)
0.003571429,1.0,(4|27)
0.003571429,3.0,(35|15)
0.003546099,1.0,(17|25)
0.003533569,1.0,(22|29)
0.003508772,1.0,(17|21)
0.003484321,1.0,(44|32)
0.003480278,3.0,(19|32)
0.003460208,1.0,(39|23)
0.003436426,1.0,(23|4)
0.003344482,2.0,(20|44)
0.003333333,1.0,(29|46)
0.003236246,1.0,(22|18)
0.003215434,1.0,(33|6)
0.003205128,1.0,(27|26)
0.003115265,1.0,(38|29)
0.003086420,3.0,(27|45)
0.003045685,3.0,(23|37)
0.003021148,1.0,(34|17)
0.003012048,1.0,(40|6)
0.003003003,1.0,(20|42)
0.002994012,3.0,(35|20)
0.002962963,2.0,(29|39)
0.002915452,1.0,(31|16)
0.002915452,1.0,(35|16)
0.002915452,1.0,(49|19)
0.002894356,2.0,(39|38)
0.002832861,1.0,(24|34)
0.002832861,1.0,(25|33)
0.002816901,1.0,(0|30)
0.002808989,1.0,(22|32)
0.002801121,1.0,(11|40)
0.002801121,1.0,(31|27)
0.002766252,2.0,(7|30)
0.002754821,1.0,(7|20)
0.002754821,1.0,(38|37)
0.002710027,1.0,(25|28)
0.002604167,2.0,(20|38)
0.002583979,1.0,(22|42)
0.002564103,1.0,(23|45)
0.002564103,2.0,(24|33)
0.002538071,1.0,(39|30)
0.002506266,1.0,(23|18)
0.002484472,2.0,(4|30)
0.002450980,2.0,(28|24)
0.002450980,2.0,(28|28)
0.002331002,3.0,(26|31)
0.002325581,1.0,(19|5)
0.002320186,1.0,(20|19)
0.002304147,1.0,(22|27)
0.002244669,2.0,(31|36)
0.002210759,3.0,(19|36)
0.002184598,4.0,(34|35)
0.002155172,3.0,(28|35)
0.002141328,1.0,(8|35)
0.002132196,1.0,(32|34)
0.002116402,2.0,(18|37)
0.002111932,2.0,(33|37)
0.002087683,1.0,(5|43)
0.002087683,1.0,(34|37)
0.002074689,1.0,(21|33)
0.001988071,1.0,(25|32)
0.001876173,1.0,(38|43)
0.001850139,2.0,(26|35)
0.001808318,1.0,(34|21)
0.001724138,1.0,(37|46)
0.001703577,1.0,(29|29)
0.001675042,1.0,(34|31)
0.001650165,1.0,(26|33)
0.001626016,1.0,(11|44)
0.001600000,1.0,(13|27)
0.001582279,1.0,(28|5)
0.001572327,1.0,(23|16)
0.001523229,2.0,(32|35)
0.001508296,1.0,(31|35)
0.001468429,2.0,(30|21)
0.001459854,1.0,(23|36)
0.001459854,1.0,(23|38)
0.001425517,2.0,(20|39)
0.001340483,1.0,(3|22)
0.001265823,1.0,(3|25)
0.001166861,1.0,(31|29)
0.001119821,1.0,(23|33)
0.001113586,1.0,(33|35)
0.001029866,1.0,(19|31)
0.0007645260,1.0,(36|34)
0.0004814636,1.0,(38|26)
