Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 398 | RP Finance-Lending (jp:398,idx:233)
Class Probability,Ex Count at BMU,BMU Map Loc
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002320186,1.0,(20|19)
0.002298851,1.0,(17|38)
0.002150538,2.0,(14|5)
0.002081166,2.0,(21|37)
0.001910220,2.0,(19|34)
0.001897533,1.0,(38|44)
0.001883239,1.0,(20|20)
0.001841621,1.0,(26|19)
0.001801802,1.0,(16|2)
0.001782531,1.0,(46|28)
0.001623377,1.0,(49|11)
0.001620746,1.0,(39|34)
0.001620746,1.0,(40|33)
0.001619433,2.0,(25|45)
0.001600000,1.0,(13|27)
0.001594896,1.0,(42|25)
0.001540832,1.0,(20|36)
0.001447178,1.0,(39|38)
0.001369863,1.0,(33|36)
0.001308901,1.0,(45|47)
0.001302083,1.0,(20|38)
0.001265823,1.0,(3|25)
0.001190476,1.0,(35|15)
0.001158749,1.0,(6|3)
0.0009569378,1.0,(31|33)
0.0009250694,1.0,(26|35)
0.0009242144,1.0,(15|40)
0.0009074410,1.0,(35|38)
0.0008361204,1.0,(38|47)
0.0007686395,1.0,(29|36)
0.0007369197,1.0,(19|36)
0.0007183908,1.0,(28|35)
0.0006082725,1.0,(35|40)
